fill_id,epoch,prev_epoch,next_epoch,tier,k,gap_years,dt_left_yr,dt_right_yr,dt_basis,n_cells,area_m2,crown_id,crown_diam_m,size_class,crown_cells,fill_cells_in_crown,fill_share_of_crown,crown_cover_raw,p_t_list,p_t_source,miss_product,epsilon_interval,epsilon_interval_next,gamma_interval_colonisation,gamma_interval_emptysite,lambda_colonisation,lambda_colonisation_emptysite,lambda_rule,log10_lambda_colonisation,log10_lambda_rule,posterior_fill_colonisation,posterior_fill_colonisation_emptysite,posterior_fill_rule
2011s#282_2644,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,8096,9.95,8-10,8,2,0.25,0.625,0.965,2011s|bin|8-10,0.035,0.008764,0.008764,0.0004121,0.0009761,9521.8,4020.22,19.6204,3.9787,1.2927,0.99989499,0.99975132,0.95150443
2011s#282_2700,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,19,76.0,8203,11.43,10-14,14,3,0.214,0.786,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#285_2381,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,7553,11.7,10-14,12,7,0.583,0.25,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#290_2669,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,13,52.0,8102,9.96,8-10,9,1,0.111,0.889,0.965,2011s|bin|8-10,0.035,0.008764,0.008764,0.0004121,0.0009761,9521.8,4020.22,19.6204,3.9787,1.2927,0.99989499,0.99975132,0.95150443
2011s#296_2351,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,13,52.0,7513,17.01,14+,27,5,0.185,0.593,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#300_2669,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,13,52.0,9354,4.68,4-5,1,1,1.0,0.0,0.9185,2011s|bin|4-5,0.0815,0.008764,0.008764,0.0004121,0.0009761,22172.2,9361.38,45.6876,4.3458,1.6598,0.9999549,0.99989319,0.97858104
2011s#301_2421,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#306_2337,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,13,52.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#311_2423,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,14,56.0,8946,3.81,3-4,2,2,1.0,0.0,0.8943,2011s|bin|3-4,0.1057,0.008764,0.008764,0.0004121,0.0009761,28755.8,12141.1,59.2537,4.4587,1.7727,0.99996523,0.99991764,0.98340352
2011s#313_2597,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,9211,16.96,14+,25,1,0.04,0.96,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#316_2692,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,12,48.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#318_2502,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#319_2494,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,18,72.0,9156,12.48,10-14,14,2,0.143,0.857,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#321_2658,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,9,36.0,9377,11.72,10-14,13,1,0.077,0.923,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#329_2573,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,26,104.0,9232,17.54,14+,27,3,0.111,0.889,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#330_2474,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,16,64.0,9169,23.84,14+,51,3,0.059,0.941,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#330_2481,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,13,52.0,9173,12.71,10-14,14,3,0.214,0.786,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#331_2365,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,8876,6.61,6-8,4,4,1.0,0.0,0.9523,2011s|bin|6-8,0.0477,0.008764,0.008764,0.0004121,0.0009761,12976.9,5478.99,26.7399,4.1132,1.4272,0.99992295,0.99981752,0.96395079
2011s#334_2392,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,21,84.0,8889,13.98,10-14,18,4,0.222,0.722,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#337_2539,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,30,120.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#337_2614,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,15,60.0,9236,7.99,6-8,6,2,0.333,0.667,0.9523,2011s|bin|6-8,0.0477,0.008764,0.008764,0.0004121,0.0009761,12976.9,5478.99,26.7399,4.1132,1.4272,0.99992295,0.99981752,0.96395079
2011s#339_2330,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,109,436.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#339_2632,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,72,288.0,10579,10.81,10-14,11,5,0.455,0.545,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#341_2579,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,10,40.0,9249,9.79,8-10,9,6,0.667,0.111,0.965,2011s|bin|8-10,0.035,0.008764,0.008764,0.0004121,0.0009761,9521.8,4020.22,19.6204,3.9787,1.2927,0.99989499,0.99975132,0.95150443
2011s#342_2472,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,10,40.0,9183,8.83,8-10,6,1,0.167,0.833,0.965,2011s|bin|8-10,0.035,0.008764,0.008764,0.0004121,0.0009761,9521.8,4020.22,19.6204,3.9787,1.2927,0.99989499,0.99975132,0.95150443
2011s#343_2600,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,13,52.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#345_2544,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,12,48.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#346_2531,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,9,36.0,9103,10.1,10-14,8,4,0.5,0.5,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#349_2492,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,27,108.0,10144,7.7,6-8,5,2,0.4,0.6,0.9523,2011s|bin|6-8,0.0477,0.008764,0.008764,0.0004121,0.0009761,12976.9,5478.99,26.7399,4.1132,1.4272,0.99992295,0.99981752,0.96395079
2011s#351_2529,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,11,44.0,10411,8.03,8-10,4,1,0.25,0.0,0.965,2011s|bin|8-10,0.035,0.008764,0.008764,0.0004121,0.0009761,9521.8,4020.22,19.6204,3.9787,1.2927,0.99989499,0.99975132,0.95150443
2011s#355_2514,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,14,56.0,10157,21.32,14+,41,10,0.244,0.659,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#355_2682,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#366_2391,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,16,64.0,10086,10.97,10-14,12,7,0.583,0.417,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#366_2446,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,35,140.0,10319,6.54,6-8,4,4,1.0,0.0,0.9523,2011s|bin|6-8,0.0477,0.008764,0.008764,0.0004121,0.0009761,12976.9,5478.99,26.7399,4.1132,1.4272,0.99992295,0.99981752,0.96395079
2011s#368_2458,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,10328,6.86,6-8,5,2,0.4,0.2,0.9523,2011s|bin|6-8,0.0477,0.008764,0.008764,0.0004121,0.0009761,12976.9,5478.99,26.7399,4.1132,1.4272,0.99992295,0.99981752,0.96395079
