point_id,stratum,stratum_name,row,col,x,y,lon,lat,model_canopy
56,1,disagree_5_15m,4039,2349,1258996.7472808722,297457.9319853422,-122.3855388,47.804924,1
57,1,disagree_5_15m,5839,3996,1262290.7472808722,293857.9319853422,-122.3718445,47.7952381,0
58,1,disagree_5_15m,6253,7537,1269372.7472808722,293029.9319853422,-122.3429708,47.7933531,1
59,1,disagree_5_15m,2767,5391,1265080.7472808722,300001.9319853422,-122.3609918,47.8122306,0
60,1,disagree_5_15m,3413,5006,1264310.7472808722,298709.9319853422,-122.3640204,47.8086474,0
61,2,disagree_other,7959,10550,1275398.7472808722,289617.9319853422,-122.3181916,47.7843223,1
62,2,disagree_other,1435,7856,1270010.7472808722,302665.9319853422,-122.3411437,47.819799,0
63,2,disagree_other,6760,3833,1261964.7472808722,292015.9319853422,-122.3730206,47.7901714,1
64,2,disagree_other,2875,2382,1259062.7472808722,299785.9319853422,-122.3854614,47.8113085,0
65,2,disagree_other,5847,5089,1264476.7472808722,293841.9319853422,-122.3629512,47.7953137,0
66,2,disagree_other,1593,7438,1269174.7472808722,302349.9319853422,-122.3445207,47.8188879,1
67,2,disagree_other,4517,6142,1266582.7472808722,296501.9319853422,-122.3545985,47.802719,1
68,2,disagree_other,5065,6306,1266910.7472808722,295405.9319853422,-122.353176,47.7997327,1
69,2,disagree_other,4664,5261,1264820.7472808722,296207.9319853422,-122.3617431,47.8018174,0
70,2,disagree_other,7432,10887,1276072.7472808722,290671.9319853422,-122.3155331,47.7872469,1
71,2,disagree_other,7090,4690,1263678.7472808722,291355.9319853422,-122.3659958,47.7884562,0
72,2,disagree_other,6541,5564,1265426.7472808722,292453.9319853422,-122.3589749,47.791561,0
73,2,disagree_other,2849,8402,1271102.7472808722,299837.9319853422,-122.3364748,47.8121062,0
74,2,disagree_other,1649,10692,1275682.7472808722,302237.9319853422,-122.3180269,47.8189282,0
75,2,disagree_other,3504,3348,1260994.7472808722,298527.9319853422,-122.3774974,47.807967,0
76,2,disagree_other,4360,3806,1261910.7472808722,296815.9319853422,-122.3736311,47.8033249,1
77,2,disagree_other,3909,2278,1258854.7472808722,297717.9319853422,-122.3861379,47.8056288,1
78,2,disagree_other,2205,4761,1263820.7472808722,301125.9319853422,-122.3662099,47.8152427,0
79,2,disagree_other,5029,8063,1270424.7472808722,295477.9319853422,-122.3388865,47.8001194,0
80,2,disagree_other,6416,8011,1270320.7472808722,292703.9319853422,-122.3390888,47.7925104,0
81,2,disagree_other,7346,6577,1267452.7472808722,290843.9319853422,-122.3506052,47.7872579,0
82,2,disagree_other,4362,6350,1266998.7472808722,296811.9319853422,-122.352931,47.8035912,0
83,2,disagree_other,3310,9683,1273664.7472808722,298915.9319853422,-122.3259771,47.8097157,0
84,2,disagree_other,487,7063,1268424.7472808722,304561.9319853422,-122.34775,47.8249104,0
85,2,disagree_other,2165,5379,1265056.7472808722,301205.9319853422,-122.3611867,47.8155294,1
