point_id,label,crown_idx,crown_id,offcrown,off_grid,terminal_absent_epochs,terminal_laundered,terminal_laundered_posterior,terminal_censored,laundered_crown_obs1,laundered_crown_obs0,laundered_crown_missing,raw_trajectory,viterbi_trajectory,posterior_trajectory,crown_obs,n_epochs_touched,impossible_triples_raw,impossible_triples_healed,impossible_triples_posterior,healed_to_canopy,healed_to_ignore
1136,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1137,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1138,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1139,nochange,0,,1,0,0,0,0,0,0,0,0,...C....C...,,,,0,0,0,0,0,0
1140,nochange,0,,1,0,0,0,0,0,0,0,0,...C..C...C.,,,,0,0,0,0,0,0
1141,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1142,nochange,0,,1,0,0,0,0,0,0,0,0,....C...C..C,,,,0,0,0,0,0,0
1143,nochange,0,,1,0,0,0,0,0,0,0,0,C.C.........,,,,0,1,0,0,0,0
1144,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1145,nochange,0,,1,0,0,0,0,0,0,0,0,.C..........,,,,0,0,0,0,0,0
1146,nochange,0,,1,0,0,0,0,0,0,0,0,........C...,,,,0,0,0,0,0,0
1147,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1148,nochange,0,,1,0,0,0,0,0,0,0,0,..........C.,,,,0,0,0,0,0,0
1149,nochange,0,,1,0,0,0,0,0,0,0,0,C..........C,,,,0,0,0,0,0,0
115,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1150,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1151,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1152,nochange,0,,1,0,0,0,0,0,0,0,0,.C..C.......,,,,0,0,0,0,0,0
1153,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1154,nochange,75558,EDM_0075557,0,0,2,2,2,0,0,2,0,..C.C..C.C..,CCCCCCCCCCCC,CCCCCCCCCCCC,..C.C..C.C..,8,2,0,0,8,0
1155,nochange,0,,1,0,0,0,0,0,0,0,0,CCCC.C..C..C,,,,0,1,0,0,0,0
1156,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1157,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1158,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
