point_id,label,ts
1209,nochange,2026-09-05T00:35:36Z
273,nochange,2026-09-05T00:35:37Z
186,nochange,2026-09-05T00:59:48Z
1016,nochange,2026-09-05T00:59:49Z
511,nochange,2026-09-05T00:59:50Z
1027,nochange,2026-09-05T00:59:52Z
411,nochange,2026-09-05T00:59:53Z
744,nochange,2026-09-05T00:59:54Z
991,nochange,2026-09-05T00:59:55Z
950,nochange,2026-09-05T00:59:56Z
1036,nochange,2026-09-05T01:00:00Z
781,nochange,2026-09-05T01:00:01Z
989,nochange,2026-09-05T01:00:02Z
696,nochange,2026-09-05T01:00:02Z
596,nochange,2026-09-05T01:00:03Z
1151,nochange,2026-09-05T01:00:04Z
1225,nochange,2026-09-05T01:00:05Z
479,nochange,2026-09-05T01:00:06Z
939,nochange,2026-09-05T01:00:07Z
187,nochange,2026-09-05T01:00:07Z
1064,nochange,2026-09-05T01:00:08Z
393,undo,2026-09-05T01:00:10Z
1064,nochange,2026-09-05T01:00:12Z
393,undo,2026-09-05T01:00:13Z
1064,loss,2026-09-05T01:00:17Z
393,nochange,2026-09-05T01:00:20Z
