unit_id,blind_order,is_control,stratum_id,stratum_name,tier,gap_left_yr,gap_right_yr,gap_years,gap_bucket,size_class,bracket_years,epoch_prev,epoch_filled,epoch_next,x,y,epsg,row,col,n_cells,area_m2,equiv_diam_m,control_flank,adjudicable,adjudicator,adjudicator_dyear,adjudicate,present_in_filled_epoch,notes
F2013_02512_02097,106,0,6,HEAL|1-2|6-8,HEAL,2,2,2,1-2,6-8,4,2011s,2013,2015,549283.0,5295893.0,26910,2512,2097,8,32.0,6.38,,0,,,0,,
C2020_02078_02141,107,1,35,REVIEW|1-2|10-14,REVIEW,1,1,1,1-2,10-14,2,2019,2020,2021,549371.0,5296761.0,26910,2078,2141,28,112.0,11.94,next,0,,,0,,
F2022_03225_00953,108,0,34,REVIEW|1-2|8-10,REVIEW,1,1,1,1-2,8-10,2,2021,2022,2023,546995.0,5294467.0,26910,3225,953,16,64.0,9.03,,0,,,0,,
F2023_02079_01835,109,0,33,REVIEW|1-2|6-8,REVIEW,1,1,1,1-2,6-8,2,2022,2023,2024,548759.0,5296759.0,26910,2079,1835,9,36.0,6.77,,0,,,0,,
F2020_01713_02223,110,0,34,REVIEW|1-2|8-10,REVIEW,1,1,1,1-2,8-10,2,2019,2020,2021,549535.0,5297491.0,26910,1713,2223,13,52.0,8.14,,0,,,0,,
C2017_01390_01779,111,1,35,REVIEW|1-2|10-14,REVIEW,1,2,2,1-2,10-14,3,2016,2017,2019,548647.0,5298137.0,26910,1390,1779,22,88.0,10.59,prev,1,lidar_chm2_2016_50cm,1,1,,
C2015_02172_01388,112,1,5,HEAL|1-2|5-6,HEAL,2,1,2,1-2,5-6,3,2013,2015,2016,547865.0,5296573.0,26910,2172,1388,7,28.0,5.97,next,1,lidar_chm2_2016_50cm,-1,1,,
F2020_01030_02691,113,0,33,REVIEW|1-2|6-8,REVIEW,1,1,1,1-2,6-8,2,2019,2020,2021,550471.0,5298857.0,26910,1030,2691,10,40.0,7.14,,0,,,0,,
C2023_04381_02433,114,1,34,REVIEW|1-2|8-10,REVIEW,1,1,1,1-2,8-10,2,2022,2023,2024,549955.0,5292155.0,26910,4381,2433,19,76.0,9.84,next,0,,,0,,
C2017_03159_01957,115,1,33,REVIEW|1-2|6-8,REVIEW,1,2,2,1-2,6-8,3,2016,2017,2019,549003.0,5294599.0,26910,3159,1957,10,40.0,7.14,prev,1,lidar_chm2_2016_50cm,1,1,,
F2023_03859_02449,116,0,32,REVIEW|1-2|5-6,REVIEW,1,1,1,1-2,5-6,2,2022,2023,2024,549987.0,5293199.0,26910,3859,2449,7,28.0,5.97,,0,,,0,,
C2023_02934_00345,117,1,33,REVIEW|1-2|6-8,REVIEW,1,1,1,1-2,6-8,2,2022,2023,2024,545779.0,5295049.0,26910,2934,345,8,32.0,6.38,next,0,,,0,,
