crown_id,diameter_m,raw_states,healed_states,valid_from,valid_to,class,confidence,epochs_healed
75524,13.21,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75525,15.4,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75526,13.19,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75527,3.25,PPPPPAPP,PPPPP?PP,2009,2024,PERSISTENT,BLIND,2019
75528,14.6,APP?PPP?,APPPPPP?,2011s,2021,GAINED,HEALED,2015
75529,10.25,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75530,6.91,APAA?PPP,APAA?PPP,2011s,2024,GAINED,RAW,
75531,6.9,PPPPPPP?,PPPPPPP?,2009,2021,PERSISTENT,RAW,
75534,4.16,APAAPPPP,APAAPPPP,2011s,2024,GAINED,RAW,
75535,21.55,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75536,19.46,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75537,5.93,AAAAA?AP,AAAAA?AP,2024,2024,PERSISTENT,RAW,
75538,13.74,PPPPP?PP,PPPPPPPP,2009,2024,PERSISTENT,BLIND,2019
75539,10.53,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75540,9.54,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75541,11.42,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75542,6.32,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75543,6.98,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75544,6.71,PAAAPPPP,PAAAPPPP,2009,2024,FLICKERING,RAW,
75545,14.61,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75546,3.04,APAAPPPP,APAAPPPP,2011s,2024,GAINED,RAW,
75547,9.6,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75548,4.81,APAAAAAA,APAAAAAA,2011s,2011s,LOST,RAW,
75549,12.39,P?PAPPPP,P?PPPPPP,2009,2024,PERSISTENT,HEALED,2015
75550,15.48,PPPAPPPP,PPPPPPPP,2009,2024,PERSISTENT,HEALED,2015
75551,12.49,P?PAPPPP,PPPPPPPP,2009,2024,PERSISTENT,HEALED,"2011s,2015"
75552,6.68,APAAPPPP,APAAPPPP,2011s,2024,GAINED,RAW,
75554,5.82,APAAPPPP,APAAPPPP,2011s,2024,GAINED,RAW,
75555,10.76,PPPAPPPA,PPPPPPPA,2009,2021,LOST,TERMINAL,2015
