curve_id,year,run_tag,ref,prob,canopy_def,eval_scope,policy,k,thresh,recall,precision,f1,tp,fn,fp,population,pr_auc,n_cuts,n_eligible_cuts,source,curve_file
95938e9335d9,2006s,hy_e3_2006s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_hy_e3_2006s.tif,forest_wetland_scrub,,scored_live,,0.338582,0.7037,0.6973,0.7005,8154245,3432853,3539005,15126103,,,,qc_indep_report.csv,
95938e9335d9,2006s,hy_e3_2006s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_hy_e3_2006s.tif,forest_wetland_scrub,,scored_live,,0.334645,0.6519,0.72,0.6843,409475,218670,159264,787409,,,,qc_indep_report.csv,
cb367abc8825,2006s,hy_e3_2006s,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2006s_hy_e3_2006s.tif,forest_wetland,,scored_live,,0.4743,0.6524,0.7695,0.7061,7768852,4139417,2327371,14235640,,,,qc_indep_report.csv,
7ac21c5fec18,2006s,t1_2006s_add05,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add05.tif,forest_wetland,sample-selection,best_f1,60,0.23622,0.8213,0.6186,0.7057,287013,62459,176923,526395,0.7477,254,190,qc_indep_sweep_2006s_t1_2006s_add05_ccap_2021_hires_lc_sample-selection.csv,phase4/qc/curves/7ac21c5fec18.csv
9bf4eacc4285,2006s,t1_2006s_add05,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add05.tif,forest_wetland,sample-test,best_f1,62,0.244094,0.7579,0.6414,0.6948,454604,145195,254218,854017,0.7551,254,197,qc_indep_sweep_2006s_t1_2006s_add05_ccap_2021_hires_lc_sample-test.csv,phase4/qc/curves/9bf4eacc4285.csv
7ac21c5fec18,2006s,t1_2006s_add05,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add05.tif,forest_wetland,sample-selection,matched_p50,53,0.208661,0.9475,0.5122,0.6649,331129,18343,315364,664836,0.7477,254,138,qc_indep_sweep_2006s_t1_2006s_add05_ccap_2021_hires_lc_sample-selection.csv,phase4/qc/curves/7ac21c5fec18.csv
9bf4eacc4285,2006s,t1_2006s_add05,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add05.tif,forest_wetland,sample-test,matched_p50,54,0.212598,0.8951,0.5139,0.6529,536852,62947,507752,1107551,0.7551,254,144,qc_indep_sweep_2006s_t1_2006s_add05_ccap_2021_hires_lc_sample-test.csv,phase4/qc/curves/9bf4eacc4285.csv
7ac21c5fec18,2006s,t1_2006s_add05,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add05.tif,forest_wetland,sample-selection,matched_p75,105,0.413385,0.5215,0.7505,0.6154,182238,167234,60591,410063,0.7477,254,86,qc_indep_sweep_2006s_t1_2006s_add05_ccap_2021_hires_lc_sample-selection.csv,phase4/qc/curves/7ac21c5fec18.csv
9bf4eacc4285,2006s,t1_2006s_add05,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add05.tif,forest_wetland,sample-test,matched_p75,105,0.413385,0.5676,0.751,0.6465,340422,259377,112868,712667,0.7551,254,93,qc_indep_sweep_2006s_t1_2006s_add05_ccap_2021_hires_lc_sample-test.csv,phase4/qc/curves/9bf4eacc4285.csv
7ac21c5fec18,2006s,t1_2006s_add05,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add05.tif,forest_wetland,sample-selection,matched_p90,148,0.582677,0.1379,0.9043,0.2392,48177,301295,5099,354571,0.7477,254,43,qc_indep_sweep_2006s_t1_2006s_add05_ccap_2021_hires_lc_sample-selection.csv,phase4/qc/curves/7ac21c5fec18.csv
9bf4eacc4285,2006s,t1_2006s_add05,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add05.tif,forest_wetland,sample-test,matched_p90,152,0.598425,0.2365,0.9013,0.3747,141872,457927,15542,615341,0.7551,254,46,qc_indep_sweep_2006s_t1_2006s_add05_ccap_2021_hires_lc_sample-test.csv,phase4/qc/curves/9bf4eacc4285.csv
304591adb0b9,2006s,t1_2006s_add05,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add05.tif,forest_only,,scored_live,,0.5,0.4347,0.7764,0.5573,151900,197572,43739,393211,,,,qc_indep_report.csv,
304591adb0b9,2006s,t1_2006s_add05,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add05.tif,forest_only,,scored_live,,0.248031,0.7405,0.6405,0.6869,436459,152931,244938,834328,,,,qc_indep_report.csv,
a53e3a35d106,2006s,t1_2006s_add05,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add05.tif,forest_wetland_scrub,,scored_live,,0.5,0.4188,0.7802,0.545,152632,211837,43007,407476,,,,qc_indep_report.csv,
a53e3a35d106,2006s,t1_2006s_add05,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add05.tif,forest_wetland_scrub,,scored_live,,0.248031,0.7145,0.6586,0.6854,448783,179362,232614,860759,,,,qc_indep_report.csv,
ed50682cdda7,2006s,t1_2006s_add05,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add05.tif,forest_wetland,,scored_live,,0.5,0.4347,0.7764,0.5573,151900,197572,43739,393211,,,,qc_indep_report.csv,
ed50682cdda7,2006s,t1_2006s_add05,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add05.tif,forest_wetland,,scored_live,,0.248031,0.7413,0.6525,0.6941,444612,155187,236785,836584,,,,qc_indep_report.csv,
34dfa874a259,2006s,t1_2006s_add16,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add16.tif,forest_wetland,sample-test,best_f1,116,0.456692,0.7712,0.4509,0.5691,462568,137231,563388,1163187,0.5646,254,133,qc_indep_sweep_2006s_t1_2006s_add16_ccap_2021_hires_lc_sample-test.csv,phase4/qc/curves/34dfa874a259.csv
731186aa5d4e,2006s,t1_2006s_add16,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add16.tif,forest_wetland,sample-selection,best_f1,104,0.409448,0.8771,0.441,0.5869,306512,42960,388581,738053,0.5522,254,132,qc_indep_sweep_2006s_t1_2006s_add16_ccap_2021_hires_lc_sample-selection.csv,phase4/qc/curves/731186aa5d4e.csv
