session,step,basis,gpu_present,samples,hours,gpu_busy_frac,gpu_util_mean,cpu50_frac,iowait10_frac,tx1_frac,rx1_frac,disk5_frac,nothing_frac,ambiguous_dropped,samples_parsed,span_hours,source_file,phase
spdg,inference,marker,1.0000,202,0.2806,0.7426,54.2624,0.0000,0.0446,0.0000,0.0594,0.1931,0.1485,0,689,1.2519,hw_spdg.csv,open
spdg,train,marker,1.0000,362,0.5028,0.1961,12.1077,0.5000,0.0000,0.1243,0.0497,0.1961,0.2376,0,689,1.2519,hw_spdg.csv,open
spdprobe,(between),interval,0.0000,480,0.6667,,,0.0000,0.0521,0.0000,0.0000,0.0000,0.5625,0,480,0.6656,hw_spdprobe.csv [v2 step column present but blank -> interval basis: hw_spdprobe.csv],
spdprobe,ALL,interval,0.0000,480,0.6667,,,0.0000,0.0521,0.0000,0.0000,0.0000,0.5625,0,480,0.6656,hw_spdprobe.csv [v2 step column present but blank -> interval basis: hw_spdprobe.csv],
spdprobe2,(between),interval,0.0000,60,0.0833,,,0.0667,0.2333,0.0000,0.1333,0.0667,0.5333,0,60,0.0819,hw_spdprobe2.csv [v2 step column present but blank -> interval basis: hw_spdprobe2.csv],
spdprobe2,ALL,interval,0.0000,60,0.0833,,,0.0667,0.2333,0.0000,0.1333,0.0667,0.5333,0,60,0.0819,hw_spdprobe2.csv [v2 step column present but blank -> interval basis: hw_spdprobe2.csv],
spdvc1,(between),marker,0.0000,57,0.0792,,,0.0000,0.2982,0.1404,0.0175,0.0351,0.4561,0,792,1.0992,hw_spdvc1.csv,
spdvc1,ALL,marker,0.0000,792,1.1000,,,0.1275,0.5013,0.0429,0.1149,0.1616,0.4078,0,792,1.0992,hw_spdvc1.csv,
spdvc1,labels,marker,0.0000,111,0.1542,,,0.0090,0.9910,0.0000,0.2703,0.0180,0.4234,0,792,1.0992,hw_spdvc1.csv,launching
spdvc1,labels,marker,0.0000,1,0.0014,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,792,1.0992,hw_spdvc1.csv,verifying
spdvc1,tile,marker,0.0000,153,0.2125,,,0.0065,0.8562,0.0000,0.1438,0.0000,0.5098,0,792,1.0992,hw_spdvc1.csv,launching
spdvc1,tile,marker,0.0000,469,0.6514,,,0.2111,0.2942,0.0554,0.0810,0.2623,0.3667,0,792,1.0992,hw_spdvc1.csv,open
spdvc1,tile,marker,0.0000,1,0.0014,,,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0,792,1.0992,hw_spdvc1.csv,verifying
spdvg,(between),marker,1.0000,32,0.0444,0.0312,2.1250,0.0000,0.0000,0.0000,0.0000,0.1250,0.8750,0,468,0.6547,hw_spdvg.csv,
spdvg,ALL,marker,1.0000,468,0.6500,0.1667,10.2201,0.4338,0.0021,0.1453,0.0278,0.2137,0.2842,0,468,0.6547,hw_spdvg.csv,
spdvg,train,marker,1.0000,8,0.0111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1250,0.8750,0,468,0.6547,hw_spdvg.csv,launching
spdvg,train,marker,1.0000,427,0.5931,0.1803,11.0422,0.4754,0.0023,0.1593,0.0304,0.2225,0.2295,0,468,0.6547,hw_spdvg.csv,open
spdvg,train,marker,1.0000,1,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,468,0.6547,hw_spdvg.csv,verifying
sweep1,(between),interval,0.0000,1289,1.7903,,,0.0240,,0.0000,0.2048,0.0008,0.4686,0,2276,3.9914,hw_sweep1.csv,
sweep1,ALL,interval,0.0000,2276,3.1611,,,0.1525,,0.0000,0.2087,0.0004,0.4029,0,2276,3.9914,hw_sweep1.csv,
sweep1,evaluate,interval,0.0000,6,0.0083,,,0.0000,,0.0000,0.0000,0.0000,0.6667,0,2276,3.9914,hw_sweep1.csv,open
sweep1,inference,interval,0.0000,171,0.2375,,,0.0000,,0.0000,0.2339,0.0000,0.4620,0,2276,3.9914,hw_sweep1.csv,open
sweep1,postproc,interval,0.0000,171,0.2375,,,0.0000,,0.0000,0.1871,0.0000,0.4854,0,2276,3.9914,hw_sweep1.csv,open
sweep1,tile,interval,0.0000,171,0.2375,,,0.6491,,0.0000,0.2515,0.0000,0.1579,0,2276,3.9914,hw_sweep1.csv,open
sweep1,train,interval,0.0000,468,0.6500,,,0.4380,,0.0000,0.2051,0.0000,0.2564,0,2276,3.9914,hw_sweep1.csv,open
sweep2,(between),interval,0.0000,1661,2.3069,,,0.2468,,0.0000,0.5545,0.0030,0.1583,0,2796,4.2619,hw_sweep2.csv,
sweep2,ALL,interval,0.0000,2796,3.8833,,,0.2740,,0.0000,0.5801,0.0032,0.1352,0,2796,4.2619,hw_sweep2.csv,
sweep2,evaluate,interval,0.0000,12,0.0167,,,0.0000,,0.0000,0.5000,0.0000,0.2500,0,2796,4.2619,hw_sweep2.csv,open
sweep2,inference,interval,0.0000,220,0.3056,,,0.5500,,0.0000,0.5091,0.0045,0.0909,0,2796,4.2619,hw_sweep2.csv,open
sweep2,postproc,interval,0.0000,183,0.2542,,,0.2623,,0.0000,0.6175,0.0109,0.1202,0,2796,4.2619,hw_sweep2.csv,open
sweep2,tile,interval,0.0000,202,0.2806,,,0.0891,,0.0000,0.8762,0.0000,0.0644,0,2796,4.2619,hw_sweep2.csv,open
sweep2,train,interval,0.0000,518,0.7194,,,0.3263,,0.0000,0.5656,0.0019,0.1100,0,2796,4.2619,hw_sweep2.csv,open
sweep3,(between),interval,0.0000,3880,5.3889,,,0.2155,,0.0000,0.3209,0.0003,0.2884,0,5213,8.8925,hw_sweep3.csv,
