session,step,basis,gpu_present,samples,hours,gpu_busy_frac,gpu_util_mean,cpu50_frac,iowait10_frac,tx1_frac,rx1_frac,disk5_frac,nothing_frac,ambiguous_dropped,samples_parsed,span_hours,source_file,phase
healA,evaluate,marker,1.0000,8,0.0111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,1752,2.4489,"hw_healA (1).csv;hw_healA.csv [merged by ts_utc, longest file primary: hw_healA (1).csv -> +0 rows]",launching
healA,evaluate,marker,1.0000,29,0.0403,0.0345,1.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0.9655,0,1752,2.4489,"hw_healA (1).csv;hw_healA.csv [merged by ts_utc, longest file primary: hw_healA (1).csv -> +0 rows]",open
healA,inference,marker,1.0000,1,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,1752,2.4489,"hw_healA (1).csv;hw_healA.csv [merged by ts_utc, longest file primary: hw_healA (1).csv -> +0 rows]",launching
healA,inference,marker,1.0000,287,0.3986,0.9686,70.3345,0.0000,0.0000,0.0000,0.0000,0.3693,0.0105,0,1752,2.4489,"hw_healA (1).csv;hw_healA.csv [merged by ts_utc, longest file primary: hw_healA (1).csv -> +0 rows]",open
healA,labels,marker,1.0000,12,0.0167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0833,0.9167,0,1752,2.4489,"hw_healA (1).csv;hw_healA.csv [merged by ts_utc, longest file primary: hw_healA (1).csv -> +0 rows]",launching
healA,tile,marker,1.0000,1,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,1752,2.4489,"hw_healA (1).csv;hw_healA.csv [merged by ts_utc, longest file primary: hw_healA (1).csv -> +0 rows]",launching
healA,tile,marker,1.0000,903,1.2542,0.0000,0.0000,0.0000,0.0864,0.0299,0.4939,0.2702,0.4441,0,1752,2.4489,"hw_healA (1).csv;hw_healA.csv [merged by ts_utc, longest file primary: hw_healA (1).csv -> +0 rows]",open
healA,train,marker,1.0000,12,0.0167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0833,0.9167,0,1752,2.4489,"hw_healA (1).csv;hw_healA.csv [merged by ts_utc, longest file primary: hw_healA (1).csv -> +0 rows]",launching
healA,train,marker,1.0000,426,0.5917,0.1784,11.2207,0.4225,0.0000,0.0728,0.0892,0.0892,0.3451,0,1752,2.4489,"hw_healA (1).csv;hw_healA.csv [merged by ts_utc, longest file primary: hw_healA (1).csv -> +0 rows]",open
healA,train,marker,1.0000,13,0.0181,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,1752,2.4489,"hw_healA (1).csv;hw_healA.csv [merged by ts_utc, longest file primary: hw_healA (1).csv -> +0 rows]",verifying
healB,(between),marker,1.0000,34,0.0472,0.0000,0.0000,0.0000,0.0000,0.1471,0.0000,0.0882,0.8235,0,1728,2.4142,hw_healB.csv,
healB,ALL,marker,1.0000,1728,2.4000,0.3866,28.3837,0.0000,0.0318,0.0098,0.0741,0.3056,0.5104,0,1728,2.4142,hw_healB.csv,
healB,VERIFY,marker,1.0000,14,0.0194,0.0000,0.0000,0.0000,0.0000,0.1429,0.2143,0.0000,0.7857,0,1728,2.4142,hw_healB.csv,verifying
healB,inference,marker,1.0000,1,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0,1728,2.4142,hw_healB.csv,launching
healB,inference,marker,1.0000,869,1.2069,0.7687,56.4407,0.0000,0.0633,0.0000,0.1438,0.6018,0.0495,0,1728,2.4142,hw_healB.csv,open
healB,postproc,marker,1.0000,5,0.0069,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.2000,0.0000,0,1728,2.4142,hw_healB.csv,launching
