point_id,stratum,stratum_name,x,y,kind,overlap_stratum,dup_of
560,1,cand_change,549573.0,5298623.0,live,1,
302,1,cand_change,548219.0,5295277.0,live,1,
484,1,cand_change,546775.0,5294229.0,live,1,
1232,4,stable_other,546383.0,5296751.0,live,4,
688,1,cand_change,549303.0,5296095.0,live,1,
1141,4,stable_other,548395.0,5292587.0,live,4,
868,3,stable_canopy,550459.0,5299963.0,live,3,
1103,4,stable_other,547033.0,5297233.0,live,4,
550,1,cand_change,546791.0,5293853.0,live,1,
1063,4,stable_other,549729.0,5300449.0,live,4,
168,1,cand_change,545943.0,5295277.0,live,1,
617,1,cand_change,547225.0,5294261.0,live,1,
889,3,stable_canopy,549049.0,5296339.0,live,3,
1275,1,cand_change,549233.0,5292655.0,dup,1,401
69,1,cand_change,548437.0,5295723.0,live,1,
756,2,srs_floor,546811.0,5293623.0,live,4,
884,3,stable_canopy,550015.0,5300253.0,live,3,
101,1,cand_change,547965.0,5292973.0,live,1,
1169,4,stable_other,546317.0,5296583.0,live,4,
817,2,srs_floor,548525.0,5296085.0,live,4,
768,2,srs_floor,547379.0,5296003.0,live,4,
1123,4,stable_other,548281.0,5295505.0,live,4,
823,3,stable_canopy,550161.0,5300065.0,live,3,
879,3,stable_canopy,548071.0,5298029.0,live,3,
287,1,cand_change,550179.0,5300369.0,live,1,
1224,4,stable_other,548153.0,5295741.0,live,4,
343,1,cand_change,548171.0,5295193.0,live,1,
105,1,cand_change,547941.0,5293143.0,live,1,
791,2,srs_floor,548471.0,5292075.0,live,4,
1062,4,stable_other,547763.0,5296629.0,live,4,
906,3,stable_canopy,548895.0,5294599.0,live,3,
408,1,cand_change,547329.0,5294751.0,live,1,
396,1,cand_change,546635.0,5293165.0,live,1,
217,1,cand_change,546855.0,5292241.0,live,1,
606,1,cand_change,549115.0,5296573.0,live,1,
89,1,cand_change,548883.0,5292131.0,live,1,
1041,4,stable_other,546301.0,5296471.0,live,4,
1119,4,stable_other,547395.0,5296653.0,live,4,
307,1,cand_change,549927.0,5292109.0,live,1,
158,1,cand_change,548177.0,5291873.0,live,1,
733,2,srs_floor,549235.0,5299013.0,live,4,
346,1,cand_change,549505.0,5299415.0,live,1,
829,3,stable_canopy,549013.0,5298019.0,live,3,
1014,4,stable_other,547851.0,5291841.0,live,4,
619,1,cand_change,546971.0,5292933.0,live,1,
