unit_id,blind_order,is_control,stratum_id,stratum_name,tier,gap_left_yr,gap_right_yr,gap_years,gap_bucket,size_class,bracket_years,epoch_prev,epoch_filled,epoch_next,x,y,epsg,row,col,n_cells,area_m2,equiv_diam_m,control_flank,adjudicable,adjudicator,adjudicator_dyear,adjudicate,present_in_filled_epoch,notes
C2015_02500_01891,14,1,7,HEAL|1-2|8-10,HEAL,2,1,2,1-2,8-10,3,2013,2015,2016,548871.0,5295917.0,26910,2500,1891,17,68.0,9.3,prev,1,lidar_chm2_2016_50cm,-1,0,,
F2019_01757_02003,15,0,69,BLIND|3|6-8,BLIND,3,2,3,3,6-8,5,2016,2019,2021,549095.0,5297403.0,26910,1757,2003,10,40.0,7.14,,0,,,0,,
F2021_00908_02141,16,0,69,BLIND|3|6-8,BLIND,2,3,3,3,6-8,5,2019,2021,2024,549371.0,5299101.0,26910,908,2141,11,44.0,7.48,,0,,,0,,
C2019_01631_01598,17,1,68,BLIND|3|5-6,BLIND,3,2,3,3,5-6,5,2016,2019,2021,548285.0,5297655.0,26910,1631,1598,7,28.0,5.97,prev,0,,,0,,
F2015_02192_01170,18,0,6,HEAL|1-2|6-8,HEAL,2,1,2,1-2,6-8,3,2013,2015,2016,547429.0,5296533.0,26910,2192,1170,9,36.0,6.77,,1,lidar_chm2_2016_50cm,-1,0,,
C2021_04405_02356,19,1,70,BLIND|3|8-10,BLIND,2,3,3,3,8-10,5,2019,2021,2024,549801.0,5292107.0,26910,4405,2356,18,72.0,9.57,prev,0,,,0,,
C2019_03005_01017,20,1,69,BLIND|3|6-8,BLIND,3,2,3,3,6-8,5,2016,2019,2021,547123.0,5294907.0,26910,3005,1017,9,36.0,6.77,prev,0,,,0,,
C2019_04043_00966,21,1,70,BLIND|3|8-10,BLIND,3,2,3,3,8-10,5,2016,2019,2021,547021.0,5292831.0,26910,4043,966,19,76.0,9.84,next,0,,,0,,
C2016_04353_01675,22,1,69,BLIND|3|6-8,BLIND,1,3,3,3,6-8,4,2015,2016,2019,548439.0,5292211.0,26910,4353,1675,8,32.0,6.38,prev,1,lidar_chm2_2016_50cm,0,1,,
F2011s_02083_01806,23,0,5,HEAL|1-2|5-6,HEAL,2,2,2,1-2,5-6,4,2009,2011s,2013,548701.0,5296751.0,26910,2083,1806,7,28.0,5.97,,0,,,0,,
F2013_04489_01591,24,0,6,HEAL|1-2|6-8,HEAL,2,2,2,1-2,6-8,4,2011s,2013,2015,548271.0,5291939.0,26910,4489,1591,8,32.0,6.38,,0,,,0,,
C2016_00841_02094,25,1,72,BLIND|3|14+,BLIND,1,3,3,3,14+,4,2015,2016,2019,549277.0,5299235.0,26910,841,2094,102,408.0,22.79,prev,1,lidar_chm2_2016_50cm,0,1,,
F2019_02322_01277,26,0,69,BLIND|3|6-8,BLIND,3,2,3,3,6-8,5,2016,2019,2021,547643.0,5296273.0,26910,2322,1277,8,32.0,6.38,,0,,,0,,
C2011s_04293_01012,27,1,8,HEAL|1-2|10-14,HEAL,2,2,2,1-2,10-14,4,2009,2011s,2013,547113.0,5292331.0,26910,4293,1012,20,80.0,10.09,prev,0,,,0,,
F2011s_03425_00867,28,0,6,HEAL|1-2|6-8,HEAL,2,2,2,1-2,6-8,4,2009,2011s,2013,546823.0,5294067.0,26910,3425,867,9,36.0,6.77,,0,,,0,,
F2021_02491_00653,29,0,70,BLIND|3|8-10,BLIND,2,3,3,3,8-10,5,2019,2021,2024,546395.0,5295935.0,26910,2491,653,13,52.0,8.14,,0,,,0,,
F2019_03035_01304,30,0,69,BLIND|3|6-8,BLIND,3,2,3,3,6-8,5,2016,2019,2021,547697.0,5294847.0,26910,3035,1304,8,32.0,6.38,,0,,,0,,
F2019_01263_01508,31,0,72,BLIND|3|14+,BLIND,3,2,3,3,14+,5,2016,2019,2021,548105.0,5298391.0,26910,1263,1508,60,240.0,17.48,,0,,,0,,
C2021_03251_01150,32,1,70,BLIND|3|8-10,BLIND,2,3,3,3,8-10,5,2019,2021,2024,547389.0,5294415.0,26910,3251,1150,16,64.0,9.03,next,0,,,0,,
F2021_01759_01817,33,0,69,BLIND|3|6-8,BLIND,2,3,3,3,6-8,5,2019,2021,2024,548723.0,5297399.0,26910,1759,1817,9,36.0,6.77,,0,,,0,,
F2016_03589_01265,34,0,68,BLIND|3|5-6,BLIND,1,3,3,3,5-6,4,2015,2016,2019,547619.0,5293739.0,26910,3589,1265,7,28.0,5.97,,1,lidar_chm2_2016_50cm,0,1,,
C2019_03083_02279,35,1,71,BLIND|3|10-14,BLIND,3,2,3,3,10-14,5,2016,2019,2021,549647.0,5294751.0,26910,3083,2279,32,128.0,12.77,prev,0,,,0,,
C2015_01553_01626,36,1,6,HEAL|1-2|6-8,HEAL,2,1,2,1-2,6-8,3,2013,2015,2016,548341.0,5297811.0,26910,1553,1626,10,40.0,7.14,next,1,lidar_chm2_2016_50cm,-1,1,,
F2021_04504_01296,37,0,70,BLIND|3|8-10,BLIND,2,3,3,3,8-10,5,2019,2021,2024,547681.0,5291909.0,26910,4504,1296,18,72.0,9.57,,0,,,0,,
C2015_01765_01349,38,1,8,HEAL|1-2|10-14,HEAL,2,1,2,1-2,10-14,3,2013,2015,2016,547787.0,5297387.0,26910,1765,1349,31,124.0,12.57,prev,1,lidar_chm2_2016_50cm,-1,1,,
F2011s_02026_01366,39,0,8,HEAL|1-2|10-14,HEAL,2,2,2,1-2,10-14,4,2009,2011s,2013,547821.0,5296865.0,26910,2026,1366,33,132.0,12.96,,0,,,0,,
C2019_04308_02463,40,1,71,BLIND|3|10-14,BLIND,3,2,3,3,10-14,5,2016,2019,2021,550015.0,5292301.0,26910,4308,2463,32,128.0,12.77,prev,0,,,0,,
F2019_00321_02346,41,0,71,BLIND|3|10-14,BLIND,3,2,3,3,10-14,5,2016,2019,2021,549781.0,5300275.0,26910,321,2346,29,116.0,12.15,,0,,,0,,
F2019_01921_01410,42,0,71,BLIND|3|10-14,BLIND,3,2,3,3,10-14,5,2016,2019,2021,547909.0,5297075.0,26910,1921,1410,24,96.0,11.06,,0,,,0,,
F2021_04152_01612,43,0,70,BLIND|3|8-10,BLIND,2,3,3,3,8-10,5,2019,2021,2024,548313.0,5292613.0,26910,4152,1612,18,72.0,9.57,,0,,,0,,
C2015_00967_01977,44,1,5,HEAL|1-2|5-6,HEAL,2,1,2,1-2,5-6,3,2013,2015,2016,549043.0,5298983.0,26910,967,1977,7,28.0,5.97,next,1,lidar_chm2_2016_50cm,-1,1,,
