point_id,label,stratum,stratum_name,estimator_stratum,x,y,verify_overturned
127,nochange,1,cand_change,1,546645.0,5295585.0,0
128,nochange,1,cand_change,1,547643.0,5292867.0,0
129,nochange,1,cand_change,1,550027.0,5295405.0,0
13,nochange,1,cand_change,1,546685.0,5294451.0,0
130,nochange,1,cand_change,1,549901.0,5293703.0,0
131,loss,1,cand_change,1,548831.0,5298861.0,0
132,nochange,1,cand_change,1,549369.0,5299263.0,0
133,nochange,1,cand_change,1,547497.0,5295445.0,0
134,nochange,1,cand_change,1,549457.0,5296833.0,0
135,nochange,1,cand_change,1,549493.0,5297557.0,0
136,nochange,1,cand_change,1,547517.0,5291947.0,0
137,nochange,1,cand_change,1,550269.0,5298965.0,0
138,nochange,1,cand_change,1,548833.0,5294613.0,0
139,nochange,1,cand_change,1,550325.0,5298535.0,0
14,nochange,1,cand_change,1,548333.0,5296033.0,0
140,nochange,1,cand_change,1,549787.0,5295209.0,0
141,nochange,1,cand_change,1,547165.0,5292361.0,0
142,nochange,1,cand_change,1,548239.0,5296985.0,0
143,nochange,1,cand_change,1,547963.0,5295237.0,0
144,nochange,1,cand_change,1,546955.0,5292163.0,0
145,nochange,1,cand_change,1,550035.0,5300493.0,0
146,nochange,1,cand_change,1,546803.0,5293129.0,0
147,nochange,1,cand_change,1,548331.0,5296829.0,0
148,nochange,1,cand_change,1,546737.0,5295795.0,0
149,nochange,1,cand_change,1,548225.0,5292197.0,0
15,loss,1,cand_change,1,548571.0,5296699.0,0
150,nochange,1,cand_change,1,549811.0,5300643.0,0
151,nochange,1,cand_change,1,548473.0,5298699.0,0
152,nochange,1,cand_change,1,545465.0,5295083.0,0
153,nochange,1,cand_change,1,547233.0,5293007.0,0
154,nochange,1,cand_change,1,548211.0,5294983.0,0
155,nochange,1,cand_change,1,550173.0,5294823.0,0
156,nochange,1,cand_change,1,548223.0,5295807.0,0
157,nochange,1,cand_change,1,546887.0,5296341.0,0
158,nochange,1,cand_change,1,548177.0,5291873.0,0
159,nochange,1,cand_change,1,547019.0,5293785.0,0
16,loss,1,cand_change,1,547141.0,5293079.0,0
160,nochange,1,cand_change,1,547641.0,5294121.0,0
161,nochange,1,cand_change,1,549665.0,5299519.0,0
162,nochange,1,cand_change,1,549245.0,5292023.0,0
163,nochange,1,cand_change,1,547613.0,5294649.0,0
164,nochange,1,cand_change,1,545611.0,5295369.0,0
165,nochange,1,cand_change,1,547615.0,5297487.0,0
166,nochange,1,cand_change,1,546407.0,5295615.0,0
167,nochange,1,cand_change,1,550615.0,5298915.0,0
168,nochange,1,cand_change,1,545943.0,5295277.0,0
169,nochange,1,cand_change,1,546913.0,5293241.0,0
17,nochange,1,cand_change,1,547921.0,5293033.0,0
