point_id,stratum,stratum_name,row,col,x,y,lon,lat,model_canopy
206,5,both_noncanopy,5285,1589,547089.6,5294602.199941313,-122.3711227,47.8030528,0
207,5,both_noncanopy,4907,1009,546393.6,5295055.799941767,-122.3803686,47.8071844,0
208,5,both_noncanopy,2704,4132,550141.2,5297699.399944411,-122.3300132,47.8306874,0
209,5,both_noncanopy,6562,1606,547109.9999999999,5293069.7999397805,-122.3710167,47.7892644,0
210,5,both_noncanopy,6146,2865,548620.7999999999,5293568.99994028,-122.3507908,47.7936434,0
211,5,both_noncanopy,5056,1294,546735.6,5294876.999941588,-122.3758204,47.805551,0
212,5,both_noncanopy,6060,3376,549233.9999999999,5293672.199940383,-122.3425919,47.7945253,0
213,5,both_noncanopy,4286,3588,549488.3999999999,5295800.999942512,-122.3389522,47.8136583,0
214,5,both_noncanopy,4018,2905,548668.7999999999,5296122.599942833,-122.3498633,47.8166143,0
215,5,both_noncanopy,6588,2154,547767.6,5293038.59993975,-122.3622408,47.7889353,0
216,5,both_noncanopy,5862,2715,548440.7999999999,5293909.799940621,-122.353156,47.7967231,0
217,5,both_noncanopy,5828,1713,547238.3999999999,5293950.599940661,-122.3692066,47.7971795,0
218,5,both_noncanopy,4675,757,546091.2,5295334.199942045,-122.3843776,47.8097109,0
219,5,both_noncanopy,6886,4176,550193.9999999999,5292680.999939392,-122.3298888,47.7855334,0
220,5,both_noncanopy,3254,1997,547579.2,5297039.39994375,-122.364317,47.8249441,0
221,6,no_chm,4060,687,546007.2,5296072.199942783,-122.3854211,47.8163567,0
222,6,no_chm,3001,383,545642.3999999999,5297342.999944054,-122.3901601,47.827816,0
223,6,no_chm,4326,866,546222.0,5295752.999942464,-122.382586,47.8134694,0
224,6,no_chm,3570,365,545620.7999999999,5296660.199943371,-122.3905206,47.8216744,0
225,6,no_chm,2906,581,545880.0,5297456.999944168,-122.3869735,47.8288247,0
226,6,no_chm,6115,78,545276.3999999999,5293606.199940317,-122.3954403,47.7942219,0
227,6,no_chm,4928,34,545223.6,5295030.599941742,-122.3959968,47.807041,0
228,6,no_chm,4273,97,545299.2,5295816.599942528,-122.394905,47.8141073,0
229,6,no_chm,5922,149,545361.6,5293837.799940549,-122.3942785,47.7962996,0
230,6,no_chm,4123,31,545220.0,5295996.599942707,-122.3959441,47.8157323,0
231,6,no_chm,3071,1507,546991.2,5297258.99994397,-122.3721486,47.8269631,0
232,6,no_chm,4726,348,545600.3999999999,5295272.999941984,-122.3909391,47.8091952,0
233,6,no_chm,3353,870,546226.7999999999,5296920.599943631,-122.3823973,47.8239739,0
234,6,no_chm,2827,517,545803.2,5297551.799944263,-122.3879896,47.8296831,0
235,6,no_chm,6517,117,545323.2,5293123.7999398345,-122.3948659,47.7898785,0
236,6,no_chm,2720,121,545328.0,5297680.199944391,-122.3943253,47.830872,0
237,6,no_chm,3310,941,546312.0,5296972.199943683,-122.3812536,47.824432,0
238,6,no_chm,2611,410,545674.7999999999,5297810.999944522,-122.3896778,47.8320243,0
239,6,no_chm,3214,1199,546621.6,5297087.399943799,-122.377105,47.8254461,0
240,6,no_chm,3640,978,546356.3999999999,5296576.199943287,-122.3807028,47.8208661,0
241,6,no_chm,4255,227,545455.2,5295838.199942549,-122.392819,47.8142906,0
242,6,no_chm,3151,821,546168.0,5297162.999943874,-122.383157,47.826159,0
243,6,no_chm,2899,706,546030.0,5297465.399944176,-122.3849685,47.8288896,0
244,6,no_chm,2610,628,545936.3999999999,5297812.199944523,-122.3861823,47.8320164,0
245,6,no_chm,5542,57,545251.2,5294293.799941005,-122.3957051,47.80041,0
246,6,no_chm,6855,319,545565.6,5292718.199939429,-122.3916722,47.7862122,0
247,6,no_chm,3502,1015,546400.7999999999,5296741.799943453,-122.3800919,47.8223528,0
248,6,no_chm,7387,4037,550027.2,5292079.7999387905,-122.3321848,47.7801374,0
249,6,no_chm,2771,1111,546516.0,5297618.99994433,-122.3784587,47.8302365,0
250,6,no_chm,2745,433,545702.3999999999,5297650.199944361,-122.389326,47.8305756,0
