point_id,label,terminal_absent_epochs,terminal_laundered,terminal_censored,raw_trajectory,healed_trajectory,n_epochs_touched,epochs_touched,tiers_touched,impossible_triples_raw,impossible_triples_healed,healed_to_canopy,healed_to_ignore
1160,nochange,6,0,0,.C......,.C......,0,,,0,0,0,0
1161,nochange,8,0,0,........,........,0,,,0,0,0,0
1162,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
1163,nochange,0,0,0,C......C,C......C,0,,,0,0,0,0
1164,nochange,8,0,0,........,........,0,,,0,0,0,0
1165,nochange,8,0,0,........,........,0,,,0,0,0,0
1166,nochange,8,0,0,........,........,0,,,0,0,0,0
1167,nochange,8,0,0,........,........,0,,,0,0,0,0
1168,nochange,8,0,0,........,........,0,,,0,0,0,0
1169,nochange,8,0,0,........,........,0,,,0,0,0,0
117,nochange,3,0,0,CCCCC...,CCCCC...,0,,,0,0,0,0
1170,nochange,0,0,0,.C.....C,.C.....C,0,,,0,0,0,0
1171,nochange,8,0,0,........,........,0,,,0,0,0,0
1172,nochange,0,0,0,C......C,C......C,0,,,0,0,0,0
1173,nochange,8,0,0,........,........,0,,,0,0,0,0
1174,nochange,0,0,0,.CCC.CCC,.CCCxCCC,1,2016,BLIND,1,0,0,1
1175,nochange,0,0,0,CCCCCC.C,CCCCCCxC,1,2021,BLIND,1,0,0,1
1177,nochange,8,0,0,........,........,0,,,0,0,0,0
1178,nochange,2,0,0,...C.C..,...CxC..,1,2016,BLIND,1,0,0,1
1179,nochange,8,0,0,........,........,0,,,0,0,0,0
118,nochange,0,0,0,CCCCC..C,CCCCC..C,0,,,0,0,0,0
1180,nochange,1,0,0,....CCC.,....CCC.,0,,,0,0,0,0
1181,nochange,8,0,0,........,........,0,,,0,0,0,0
1182,nochange,8,0,0,........,........,0,,,0,0,0,0
1183,nochange,1,0,0,...C.CC.,...C.CC.,0,,,1,1,0,0
1184,nochange,3,0,0,....C...,....C...,0,,,0,0,0,0
1185,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
1186,nochange,0,0,0,.......C,.......C,0,,,0,0,0,0
1187,nochange,0,0,0,.C.CCCCC,.CCCCCCC,1,2013,HEAL,1,0,1,0
1188,nochange,8,0,0,........,........,0,,,0,0,0,0
1189,nochange,8,0,0,........,........,0,,,0,0,0,0
119,nochange,8,0,0,........,........,0,,,0,0,0,0
1190,nochange,8,0,0,........,........,0,,,0,0,0,0
1191,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
1192,nochange,8,0,0,........,........,0,,,0,0,0,0
1193,nochange,7,0,0,C.......,C.......,0,,,0,0,0,0
1194,nochange,8,0,0,........,........,0,,,0,0,0,0
1195,nochange,8,0,0,........,........,0,,,0,0,0,0
1196,nochange,8,0,0,........,........,0,,,0,0,0,0
1197,nochange,8,0,0,........,........,0,,,0,0,0,0
1198,nochange,8,0,0,........,........,0,,,0,0,0,0
1199,nochange,8,0,0,........,........,0,,,0,0,0,0
12,nochange,8,0,0,........,........,0,,,0,0,0,0
120,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
1200,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
1201,nochange,8,0,0,........,........,0,,,0,0,0,0
1202,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
1203,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
1204,nochange,8,0,0,........,........,0,,,0,0,0,0
1205,nochange,1,0,0,..C...C.,..C...C.,0,,,0,0,0,0
1206,loss,3,0,0,CCCCC...,CCCCC...,0,,,0,0,0,0
1207,nochange,0,0,0,C.C.CCCC,CCCCCCCC,2,"2011s,2015",HEAL,2,0,2,0
1208,nochange,3,0,0,CCC.C...,CCCCC...,1,2015,HEAL,1,0,1,0
1209,nochange,0,0,0,.CCCCCCC,.CCCCCCC,0,,,0,0,0,0
121,nochange,0,0,0,.CCCCCCC,.CCCCCCC,0,,,0,0,0,0
1210,nochange,7,0,0,C.......,C.......,0,,,0,0,0,0
1211,nochange,8,0,0,........,........,0,,,0,0,0,0
1212,nochange,8,0,0,........,........,0,,,0,0,0,0
1213,nochange,0,0,0,CCCCC..C,CCCCC..C,0,,,0,0,0,0
1214,nochange,8,0,0,........,........,0,,,0,0,0,0
1215,nochange,8,0,0,........,........,0,,,0,0,0,0
1216,nochange,2,0,0,.C...C..,.C...C..,0,,,0,0,0,0
1217,nochange,0,0,0,.CC.CC.C,.CCCCCxC,2,"2015,2021","BLIND,HEAL",2,0,1,1
1218,nochange,8,0,0,........,........,0,,,0,0,0,0
1219,nochange,1,0,0,CC.C..C.,CCCC..C.,1,2013,HEAL,1,0,1,0
122,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
1220,nochange,8,0,0,........,........,0,,,0,0,0,0
1221,nochange,0,0,0,.....CCC,.....CCC,0,,,0,0,0,0
1222,nochange,8,0,0,........,........,0,,,0,0,0,0
1223,nochange,8,0,0,........,........,0,,,0,0,0,0
1224,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
1225,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
1226,nochange,8,0,0,........,........,0,,,0,0,0,0
1227,nochange,8,0,0,........,........,0,,,0,0,0,0
1228,nochange,8,0,0,........,........,0,,,0,0,0,0
1229,nochange,8,0,0,........,........,0,,,0,0,0,0
