ref_id,resolver_state,resolver_doi,resolver_reason,splink_top_candidate,splink_top_doi,splink_match_weight,splink_match_probability,agrees_with_resolver
Laurance_1998_rain-forest-fragmentation-dynamics::b30,resolved,10.2307/2388742,via=crossref; ratio=1.00; year=1987,cr::10.2307/2388742,10.2307/2388742,27.23902893808894,0.9999999936870081,True
Laurance_1998_rain-forest-fragmentation-dynamics::b31,unresolved,,"best=crossref:0.97:10.1590/1809-43921992224534; skipped=semanticscholar,arxiv (rate-limited)",cr::10.1590/1809-43921992224534,10.1590/1809-43921992224534,22.20237828645768,0.9999997927864884,False
Laurance_1998_rain-forest-fragmentation-dynamics::b32,unresolved,,"best=crossref:0.47:10.1080/03009480510010000; skipped=semanticscholar,arxiv (rate-limited)",cr::10.3133/ofr83116,10.3133/ofr83116,-10.981176683640463,0.0004944491571191531,False
Laurance_1998_rain-forest-fragmentation-dynamics::b33,unresolved,,"best=crossref:0.62:10.2307/jj.41003468.10; skipped=semanticscholar,arxiv (rate-limited)",cr::10.5962/bhl.title.134807,10.5962/bhl.title.134807,-9.052264642117017,0.0018800938600636121,False
Laurance_1998_rain-forest-fragmentation-dynamics::b34,unresolved,,"best=crossref:1.00:10.2307/1308256; skipped=semanticscholar,arxiv (rate-limited)",cr::10.2307/1308256,10.2307/1308256,24.025521028738364,0.9999999414404833,False
Laurance_1998_rain-forest-fragmentation-dynamics::b35,resolved,10.2307/2261571,via=crossref; ratio=1.00; year=1995,cr::10.2307/2261571,10.2307/2261571,19.072230230819102,0.9999981857972187,True
Laurance_1998_rain-forest-fragmentation-dynamics::b36,resolved,10.2307/2261703,via=crossref; ratio=1.00; year=1996,cr::10.2307/2261703,10.2307/2261703,20.335264636652894,0.9999992440813745,True
Laurance_1998_rain-forest-fragmentation-dynamics::b37,unresolved,,"best=crossref:0.60:10.1007/978-94-017-2730-3_13; skipped=semanticscholar,arxiv (rate-limited)",cr::10.2172/10185908,10.2172/10185908,-7.633160391912068,0.005011960281328341,False
Laurance_1998_rain-forest-fragmentation-dynamics::b38,unresolved,,"best=crossref:0.63:10.3138/9781487599973-002; skipped=semanticscholar,arxiv (rate-limited)",cr::10.2172/251320,10.2172/251320,-9.052264642117017,0.0018800938600636121,False
Laurance_1998_rain-forest-fragmentation-dynamics::b39,unresolved,,"best=crossref:0.59:10.1007/bf00324229; skipped=semanticscholar,arxiv (rate-limited)",cr::10.5962/bhl.title.70788,10.5962/bhl.title.70788,-9.052264642117017,0.0018800938600636121,False
Laurance_1998_rain-forest-fragmentation-dynamics::b40,resolved,10.1046/j.1523-1739.1996.10041229.x,via=crossref; ratio=1.00; year=1996,cr::10.1046/j.1523-1739.1996.10041229.x,10.1046/j.1523-1739.1996.10041229.x,24.77959731945164,0.9999999652785454,True
Laurance_1998_rain-forest-fragmentation-dynamics::b41,resolved,10.1016/0169-5347(96)10046-x,via=crossref; ratio=1.00; year=1996,cr::10.1016/0169-5347(96)10046-x,10.1016/0169-5347(96)10046-x,22.35441251663491,0.9999998135118606,True
Laurance_1998_rain-forest-fragmentation-dynamics::b42,unresolved,,"best=crossref:0.54:10.1016/j.ecolind.2019.106020; skipped=semanticscholar,arxiv (rate-limited)",cr::10.2172/10185908,10.2172/10185908,-9.052264642117017,0.0018800938600636121,False
Laurance_1998_rain-forest-fragmentation-dynamics::b43,unresolved,,"best=crossref:0.86:10.2307/jj.41003468.13; skipped=semanticscholar,arxiv (rate-limited)",cr::10.1017/cbo9780511574931.024,10.1017/cbo9780511574931.024,-9.052264642117017,0.0018800938600636121,False
Laurance_1998_rain-forest-fragmentation-dynamics::b44,unresolved,,"best=crossref:0.34:10.7287/peerj.13270v0.2/reviews/1; skipped=semanticscholar,arxiv (rate-limited)",cr::10.1017/cbo9780511574931.024,10.1017/cbo9780511574931.024,-9.052264642117017,0.0018800938600636121,False
Laurance_1998_rain-forest-fragmentation-dynamics::b45,unresolved,,"best=crossref:0.39:10.2307/2986279; skipped=semanticscholar,arxiv (rate-limited)",cr::10.5962/bhl.title.70788,10.5962/bhl.title.70788,-9.052264642117017,0.0018800938600636121,False
Laurance_1998_rain-forest-fragmentation-dynamics::b46,resolved,10.2307/2261117,via=crossref; ratio=1.00; year=1990,cr::10.2307/2261117,10.2307/2261117,21.072230230819102,0.9999995464486875,True
Burnicki_2011_spatio-temporal-errors-land-cover::b0,resolved,10.1007/978-3-662-03499-6_3,via=crossref; ratio=1.00; year=1997,cr::10.1007/978-3-662-03499-6_3,10.1007/978-3-662-03499-6_3,12.26761693234195,0.9997972358087519,True
Burnicki_2011_spatio-temporal-errors-land-cover::b1,unresolved,,"best=crossref:0.99:10.1201/9781003572800-13; skipped=semanticscholar,arxiv (rate-limited)",cr::10.1201/9781003572800-13,10.1201/9781003572800-13,6.973862734756779,0.9921074590111779,False
