file_id,block_id,byte_hex,prefix,suffix,status,resolved_ligature,all_hits
01a0a4d2-1dc0-735e-b2d9-ce8c948cd59c,01a0abc8-1594-7cf4-8e0c-59dfbc325037,0x1a,sup,Z,unresolved,,
01a0a4d2-1dc0-735e-b2d9-ce8c948cd59c,01a0abc8-1595-7aa6-97dd-b3a2b949b379,0x1a,sup,Z,unresolved,,
01a0a4d2-1dc0-735e-b2d9-ce8c948cd59c,01a0abc8-1595-7aa6-97dd-b3a2b949b379,0x1a,sup,Z,unresolved,,
01a0a4d4-6b9c-7fc7-90b9-eb076b2b1a63,01a0abc8-a3fc-744f-a6c3-874e7f7de203,0x1,Z,i,unresolved,,
01a0a4d4-6b9c-7fc7-90b9-eb076b2b1a63,01a0abc8-a404-7dc7-b33f-17fcf2a5051e,0x1,Zj,mj,unresolved,,
01a0a4d4-6b9c-7fc7-90b9-eb076b2b1a63,01a0abc8-a407-7b11-b4e9-3de3526db27f,0x1,Xb,hZ,unresolved,,
01a0a4d4-6b9c-7fc7-90b9-eb076b2b1a63,01a0abc8-a41d-7a82-b99b-a7de3c7e7c31,0x1,jZ,i,unresolved,,
01a0a4d4-6b9c-7fc7-90b9-eb076b2b1a63,01a0abc8-a41e-7733-b09d-ac8a0f23ac1b,0x1,Zj,mj,unresolved,,
01a0a4d4-6b9c-7fc7-90b9-eb076b2b1a63,01a0abc8-a42f-751d-98ea-00d52781ffe4,0x1,Z,m,unresolved,,
01a0a4d4-6b9c-7fc7-90b9-eb076b2b1a63,01a0abc8-a42f-751d-98ea-00d52781ffe4,0x1,Z,m,unresolved,,
01a0a4d4-6b9c-7fc7-90b9-eb076b2b1a63,01a0abc8-a437-7888-af41-6a62254d13bd,0x1,Xb,hZ,unresolved,,
01a0a4d4-6b9c-7fc7-90b9-eb076b2b1a63,01a0abc8-a438-7469-b3ac-a96e7116805e,0x1,Xb,hZ,unresolved,,
01a0a4d4-6b9c-7fc7-90b9-eb076b2b1a63,01a0abc8-a43f-7f5e-8d81-94eb40da8fbe,0x5,Y,j,unresolved,,
01a0a4d4-6b9c-7fc7-90b9-eb076b2b1a63,01a0abc8-a43f-7f5e-8d81-94eb40da8fbe,0x5,Y,ju,unresolved,,
01a0a4d4-6b9c-7fc7-90b9-eb076b2b1a63,01a0abc8-a43f-7f5e-8d81-94eb40da8fbe,0x5,Y,j,unresolved,,
01a0a4d4-6b9c-7fc7-90b9-eb076b2b1a63,01a0abc8-a43f-7f5e-8d81-94eb40da8fbe,0x5,Y,ju,unresolved,,
01a0a4d4-6b9c-7fc7-90b9-eb076b2b1a63,01a0abc8-a447-7b8e-8c0b-7318f6cdcbcf,0x1,Z,Yi,unresolved,,
01a0a4d4-6b9c-7fc7-90b9-eb076b2b1a63,01a0abc8-a447-7b8e-8c0b-7318f6cdcbcf,0x1,X,h,unresolved,,
01a0a4d4-6b9c-7fc7-90b9-eb076b2b1a63,01a0abc8-a447-7b8e-8c0b-7318f6cdcbcf,0x1,Z,Yi,unresolved,,
01a0a4d4-6b9c-7fc7-90b9-eb076b2b1a63,01a0abc8-a447-7b8e-8c0b-7318f6cdcbcf,0x1,Z,Yi,unresolved,,
01a0a4d4-6b9c-7fc7-90b9-eb076b2b1a63,01a0abc8-a447-7b8e-8c0b-7318f6cdcbcf,0x1,Z,Yi,unresolved,,
01a0a4d4-6b9c-7fc7-90b9-eb076b2b1a63,01a0abc8-a447-7b8e-8c0b-7318f6cdcbcf,0x1,Z,Yi,unresolved,,
01a0a4d4-6b9c-7fc7-90b9-eb076b2b1a63,01a0abc8-a448-785c-bd0d-5552562c4d5a,0x1,Z,Yi,unresolved,,
01a0a4d4-6b9c-7fc7-90b9-eb076b2b1a63,01a0abc8-a448-785c-bd0d-5552562c4d5a,0x1,X,h,unresolved,,
01a0a4d4-6b9c-7fc7-90b9-eb076b2b1a63,01a0abc8-a448-785c-bd0d-5552562c4d5a,0x1,Z,Yi,unresolved,,
01a0a4d4-6b9c-7fc7-90b9-eb076b2b1a63,01a0abc8-a448-785c-bd0d-5552562c4d5a,0x1,Z,Yi,unresolved,,
