sha256,name,relpath,route,pages,ocr_pages,file_id,work_id,tei,docling,blocks,matched,disagreements,figures,tables,equations,latex_attached,latex_rows_for_file,latex_unmatched,coverage_by_page_type,coverage_min_share,coverage_failures,grobid_seconds,docling_seconds,reconcile_seconds,ingest_seconds,run_id,inserted,status,note
4e910815f7ee77cddbd80a3ef36fa31b87fcc522aac1ef0d7ed7c2f60dd288b2,Chen_2018_semantic-segmentation-aerial-imagery.pdf,Validation/Chen_2018_semantic-segmentation-aerial-imagery.pdf,native,8,0,01a0a4bd-15b6-7778-9007-19bdffa02a60,01a0a4bd-15b2-75b8-b0d5-7c4704bb2e5b,True,True,298,53,196,8,4,0,0,0,0,"{""text"": 1.0}",1.0,0,,,1.17,0.34,01a0aa24-a546-74b9-8832-805ba83b0c84,True,ok,
66267fd5e3cbdcd51f76ce01bca8e0de4c648b72c5079c2be57d21c238f5f9f7,Conley_1999_gmm-estimation-cross-sectional.pdf,Validation/Conley_1999_gmm-estimation-cross-sectional.pdf,native,45,0,01a0a4d7-1263-76b2-9087-ac85c2134708,01a0a4d7-125f-7c97-a5a2-30c645d1e22a,True,True,1041,246,871,4,2,165,138,138,0,"{""text"": 0.9997}",0.9947976878612717,0,,,2.05,1.0,01a0aa24-aeb8-7f18-8af4-2871b01e4344,True,ok,
55b18f9a014a5d9e137d523b2ce9058e845894a1704896482204e98944c205be,Conley_2007_spatial-correlation-robust-inference.pdf,Validation/Conley_2007_spatial-correlation-robust-inference.pdf,native,21,0,01a0a4d5-e884-7bcc-bf91-5da8fc2f6f7e,01a0a4d5-e881-75ee-b6a9-fdb7664ca11d,True,True,334,105,245,4,4,16,0,0,0,"{""text"": 0.9984}",0.9661903102126176,0,,,1.28,0.44,01a0aa24-b7ba-7f89-8dd3-a26227a4c19a,True,ok,
493ec1222a4e05dd0e06e9aca4ab587c1028b042eb0264165a1a76a54ceeca45,Conway_2022_private-tree-law-s-contribution.pdf,Validation/Conway_2022_private-tree-law-s-contribution.pdf,native,18,0,01a0a4c6-ea48-76f2-a789-a915eca07778,01a0a4c6-ea44-7c20-87c7-4ae617a0c32b,True,True,456,80,357,6,10,0,0,0,0,"{""text"": 0.991}",0.9680968096809681,0,,,1.36,0.48,01a0aa24-bec7-73ea-abbe-1064e6e90136,True,ok,
153237eb0ee79e034deac040fe7f1d1adf289d82a48fa430c71d450ecdab490b,Couprie_2011_power-watershed-unifying-graph-based.pdf,Validation/Couprie_2011_power-watershed-unifying-graph-based.pdf,native,16,0,01a0a4db-64e2-74c9-9d2a-06cac91f1c88,01a0a4db-64de-768b-9c5e-1ba8eb82a5f3,True,True,580,187,348,16,3,33,10,10,0,"{""text"": 0.9948}",0.8331071913161465,0,,,1.59,0.55,01a0aa24-c6f4-7e61-a22f-b21de7ad0906,True,ok,
a170a63bfd81cbf71259fa7b79164443875d9581c3e24e8403a95d38d4cf1b45,DAngelo_2004_inferred-causes-tree-mortality.pdf,Validation/DAngelo_2004_inferred-causes-tree-mortality.pdf,native,5,0,01a0a4d1-19d6-751e-bf06-b26fab35ebe4,01a0a4d1-19d2-7a7f-98bd-0f6fb41918af,True,True,126,18,77,4,0,0,0,0,0,"{""text"": 1.0}",1.0,0,,,0.31,0.11,01a0aa24-ca5f-7cb5-b924-158cee5774f1,True,ok,
de823478b1a36965942bfcf3a5fa49bdc1e1d73644dac98d781e2f2623f5e9ed,Dai_1998a_effects-image-misregistration-accuracy.pdf,Validation/Dai_1998a_effects-image-misregistration-accuracy.pdf,native,12,0,01a0a496-53d9-78ff-8ee8-ffdb9ee705ff,01a0a496-53d1-78d3-8130-9fc296a22cb3,True,True,256,75,177,12,1,33,0,0,0,"{""text"": 0.9987}",0.9902381882077314,0,,,0.84,0.22,01a0aa24-ce29-7e46-9644-bbcb1ef9f5a2,True,ok,
f4d2b618c3c0c61b781168f817a2ab9e285e148a9062a67ca4364c014226ef08,Dai_1998b_hierarchical-fusion-letter.pdf,Validation/Dai_1998b_hierarchical-fusion-letter.pdf,native,7,0,01a0a4df-0566-72ff-ba57-6f6b02a6a007,01a0a4df-055d-7562-aad9-44143b33e930,True,True,93,30,73,3,0,3,0,0,0,"{""text"": 0.9955}",0.9928767123287672,0,,,0.27,0.09,01a0aa24-d023-7a03-9f22-f6d01bee9393,True,ok,
aff6d9343560e4ca5345ce0b1a471338be668d994838234eca1dc137e2f9e8bc,Dawid_1979_maximum-likelihood-estimation-observer.pdf,Validation/Dawid_1979_maximum-likelihood-estimation-observer.pdf,cover-sheet,10,0,01a0a151-8ed8-7417-a967-b18e0aa67be1,01a0a151-8ed6-7599-94b4-bbf427071e9e,True,True,167,57,112,3,3,14,0,0,0,"{""text"": 1.0}",1.0,0,,,0.53,0.34,01a0aa24-d2b6-7046-8030-a50e9dcc9819,True,ok,
0a690d5f2d33a072967d5e4fd3537e7bd216ebbcd790be57fe982c29a2669bee,Duval_2009_tvl1-model-geometric-point-view.pdf,Validation/Duval_2009_tvl1-model-geometric-point-view.pdf,native,36,0,01a0a4c5-2367-73e7-ac11-cc29947e8440,01a0a4c5-2363-7cbe-a940-aef962c4440e,True,True,1022,295,765,10,0,162,103,103,0,"{""text"": 1.0}",1.0,0,,,3.16,0.91,01a0aa24-e080-71c1-b6d4-ad2b7806dbf4,True,ok,
94378f06da196b82ec9f8fa253456a219631c29e61fb049fdc3704e847bd7dc5,Efron_1986_how-biased-apparent-error-rate.pdf,Validation/Efron_1986_how-biased-apparent-error-rate.pdf,native,11,0,01a0a151-6b72-78f1-ac3b-6a6079f031df,01a0a151-6b70-774d-8eae-d2ca6b2dca5b,True,True,451,78,356,2,6,104,32,32,0,"{""text"": 0.969}",0.74574505036471,1,,,1.03,0.48,01a0aa24-e818-7a54-b162-02da0a6d9c7c,True,ok,
